Number,Title,Hosted_URL
001,Help,https://barile.epizy.com/CatPages/001.html
002,PROLOGUE,https://barile.epizy.com/CatPages/002.html
003,I. The life of man - to know and love God,https://barile.epizy.com/CatPages/003.html
004,II. Handing on the Faith: Catechesis,https://barile.epizy.com/CatPages/004.html
005,III. The Aim and Intended Readership of the Catechism,https://barile.epizy.com/CatPages/005.html
006,IV. Structure of this Catechism,https://barile.epizy.com/CatPages/006.html
007,V. Practical Directions for Using this Catechism,https://barile.epizy.com/CatPages/007.html
008,VI. Necessary Adaptations,https://barile.epizy.com/CatPages/008.html
009,"SECTION ONE """"I BELIEVE"""" - """"WE BELIEVE",https://barile.epizy.com/CatPages/009.html
010,I. The Desire for God,https://barile.epizy.com/CatPages/010.html
011,II. Ways of Coming to Know God,https://barile.epizy.com/CatPages/011.html
012,III. The Knowledge of God According to the Church,https://barile.epizy.com/CatPages/012.html
013,IV. How Can We Speak about God?,https://barile.epizy.com/CatPages/013.html
014,IN BRIEF,https://barile.epizy.com/CatPages/014.html
015,CHAPTER TWO GOD COMES TO MEET MAN,https://barile.epizy.com/CatPages/015.html
016,"I. God Reveals His """"Plan of Loving Goodness",https://barile.epizy.com/CatPages/016.html
017,II. The Stages of Revelation,https://barile.epizy.com/CatPages/017.html
018,"III. Christ Jesus -- """"Mediator and Fullness of All Revelation",https://barile.epizy.com/CatPages/018.html
019,IN BRIEF,https://barile.epizy.com/CatPages/019.html
020,Article 2 THE TRANSMISSION OF DIVINE REVELATION,https://barile.epizy.com/CatPages/020.html
021,I. The Apostolic Tradition,https://barile.epizy.com/CatPages/021.html
022,II. The Relationship Between Tradition and Sacred Scripture,https://barile.epizy.com/CatPages/022.html
023,III. The Interpretation of the Heritage of Faith,https://barile.epizy.com/CatPages/023.html
024,IN BRIEF,https://barile.epizy.com/CatPages/024.html
025,I. Christ - The Unique Word of Sacred Scripture,https://barile.epizy.com/CatPages/025.html
026,II. Inspiration and Truth of Sacred Scripture,https://barile.epizy.com/CatPages/026.html
027,"III. The Holy Spirit, Interpreter of Scripture",https://barile.epizy.com/CatPages/027.html
